model_key,experiment,provider,model_id,reasoning_effort,status,constrained_factual_accuracy,constrained_factual_correct,constrained_factual_total,constrained_factual_invalid,constrained_inference_accuracy,constrained_inference_correct,constrained_inference_total,constrained_inference_invalid,reasoned_factual_accuracy,reasoned_factual_correct,reasoned_factual_total,reasoned_factual_invalid,reasoned_inference_accuracy,reasoned_inference_correct,reasoned_inference_total,reasoned_inference_invalid
glm_5_2_nvfp4,E26,litellm,nvidia/GLM-5.2-NVFP4,,pending,,,,,,,,,,,,,,,,
gpt_5_mini_low,E27,openai,gpt-5-mini-2025-08-07,low,pending,,,,,,,,,,,,,,,,
gpt_5_mini_high,E28,openai,gpt-5-mini-2025-08-07,high,pending,,,,,,,,,,,,,,,,
gpt_5_4_mini_high,E29,openai,gpt-5.4-mini-2026-03-17,high,pending,,,,,,,,,,,,,,,,
gpt_5_4_mini_low,E30,openai,gpt-5.4-mini-2026-03-17,low,pending,,,,,,,,,,,,,,,,
gpt_oss_20b_low,E31,vllm,openai/gpt-oss-20b,low,complete,0.5390919158361018,2434,4515,0,0.6055900621118012,195,322,0,0.5368770764119601,2424,4515,0,0.5993788819875776,193,322,0
gpt_oss_120b_low,E32,vllm,openai/gpt-oss-120b,low,complete,0.5991140642303433,2705,4515,0,0.6521739130434783,210,322,0,0.602436323366556,2720,4515,0,0.6583850931677019,212,322,0
gemma_4_12b,E33,vllm,google/gemma-4-12B-it,,pending,,,,,,,,,,,,,,,,
gemma_4_31b_nvfp4,E34,vllm,nvidia/Gemma-4-31B-IT-NVFP4,,pending,,,,,,,,,,,,,,,,
glm_5_nvfp4,E35,vllm,nvidia/GLM-5-NVFP4,,pending,,,,,,,,,,,,,,,,
