step,probe_index,mcqa_accuracy,predicted_idx,predicted_label,correct_idx
0,0,0.0,4,E,1
0,1,0.0,1,B,4
0,2,1.0,1,B,1
0,3,0.0,1,B,0
0,4,0.0,3,D,1
0,5,0.0,0,A,2
0,6,1.0,1,B,1
0,7,1.0,3,D,3
0,8,1.0,3,D,3
0,9,0.0,0,A,3
0,10,0.0,0,A,4
0,11,0.0,3,D,0
0,12,0.0,1,B,0
0,13,1.0,4,E,4
0,14,0.0,0,A,2
0,15,1.0,2,C,2
0,16,1.0,2,C,2
0,17,0.0,4,E,0
0,18,1.0,3,D,3
0,19,0.0,3,D,2
0,20,1.0,1,B,1
0,21,1.0,4,E,4
0,22,0.0,0,A,1
0,23,0.0,1,B,0
0,24,1.0,1,B,1
0,25,1.0,4,E,4
0,26,0.0,4,E,1
0,27,1.0,3,D,3
0,28,1.0,3,D,3
0,29,1.0,3,D,3
0,30,1.0,3,D,3
0,31,1.0,0,A,0
0,32,1.0,3,D,3
0,33,1.0,3,D,3
0,34,0.0,2,C,3
0,35,0.0,0,A,1
0,36,0.0,1,B,0
0,37,1.0,0,A,0
0,38,0.0,1,B,0
0,39,1.0,3,D,3
0,40,0.0,1,B,0
0,41,0.0,3,D,1
0,42,0.0,4,E,1
0,43,0.0,4,E,0
0,44,0.0,3,D,4
0,45,1.0,2,C,2
0,46,0.0,1,B,0
0,47,0.0,2,C,4
0,48,0.0,2,C,4
0,49,1.0,0,A,0
0,50,0.0,1,B,2
0,51,1.0,4,E,4
0,52,1.0,0,A,0
0,53,0.0,0,A,4
0,54,1.0,2,C,2
0,55,1.0,1,B,1
0,56,1.0,4,E,4
0,57,1.0,1,B,1
0,58,1.0,3,D,3
0,59,0.0,3,D,0
0,60,1.0,2,C,2
0,61,0.0,1,B,4
0,62,1.0,2,C,2
0,63,1.0,4,E,4
0,64,1.0,2,C,2
0,65,0.0,3,D,4
0,66,1.0,4,E,4
0,67,1.0,3,D,3
0,68,1.0,2,C,2
0,69,1.0,4,E,4
0,70,1.0,0,A,0
0,71,1.0,3,D,3
0,72,0.0,0,A,1
0,73,1.0,4,E,4
0,74,1.0,4,E,4
0,75,0.0,4,E,0
0,76,1.0,4,E,4
0,77,1.0,3,D,3
0,78,0.0,0,A,1
0,79,0.0,0,A,4
0,80,0.0,1,B,3
0,81,0.0,2,C,3
0,82,0.0,1,B,2
0,83,0.0,4,E,0
0,84,1.0,1,B,1
0,85,0.0,0,A,4
0,86,1.0,2,C,2
0,87,0.0,3,D,1
0,88,1.0,2,C,2
0,89,1.0,4,E,4
0,90,1.0,2,C,2
0,91,1.0,2,C,2
0,92,0.0,4,E,3
0,93,0.0,4,E,0
0,94,1.0,2,C,2
0,95,0.0,2,C,1
2,0,0.0,4,E,1
2,1,0.0,1,B,4
2,2,1.0,1,B,1
2,3,0.0,1,B,0
2,4,0.0,3,D,1
2,5,0.0,0,A,2
2,6,1.0,1,B,1
2,7,1.0,3,D,3
2,8,1.0,3,D,3
2,9,0.0,0,A,3
2,10,0.0,2,C,4
2,11,0.0,3,D,0
2,12,0.0,1,B,0
2,13,1.0,4,E,4
2,14,0.0,0,A,2
2,15,1.0,2,C,2
2,16,1.0,2,C,2
2,17,0.0,4,E,0
2,18,1.0,3,D,3
2,19,0.0,3,D,2
2,20,1.0,1,B,1
2,21,1.0,4,E,4
2,22,0.0,0,A,1
2,23,0.0,1,B,0
2,24,1.0,1,B,1
2,25,1.0,4,E,4
2,26,0.0,4,E,1
2,27,1.0,3,D,3
2,28,1.0,3,D,3
2,29,1.0,3,D,3
2,30,1.0,3,D,3
2,31,1.0,0,A,0
2,32,1.0,3,D,3
2,33,1.0,3,D,3
2,34,0.0,2,C,3
2,35,0.0,0,A,1
2,36,0.0,1,B,0
2,37,1.0,0,A,0
2,38,0.0,1,B,0
2,39,1.0,3,D,3
2,40,0.0,1,B,0
2,41,0.0,3,D,1
2,42,0.0,4,E,1
2,43,0.0,4,E,0
2,44,0.0,3,D,4
2,45,1.0,2,C,2
2,46,0.0,1,B,0
2,47,0.0,2,C,4
2,48,0.0,2,C,4
2,49,1.0,0,A,0
2,50,0.0,1,B,2
2,51,1.0,4,E,4
2,52,1.0,0,A,0
2,53,0.0,0,A,4
2,54,1.0,2,C,2
2,55,1.0,1,B,1
