target,probe,fact,question,text_sentences,inference_type,answer
 cross-lingual transfer,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO was applied using only a subset of English instruction tuning data yet improved a Chinese benchmark ($\text{CMATH}$), demonstrating","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO was applied using only a subset of English instruction tuning data yet improved a Chinese benchmark ($\text{CMATH}$), demonstrating cross-lingual transfer",GRPO was applied using only a subset of English instruction tuning data yet improved a Chinese benchmark (CMATH). What phenomenon best describes this cross-language improvement?,"['By solely using a subset of English instruction tuning data, GRPO obtains a substantial improvement over the strong DeepSeekMath-Instruct, including both in-domain (GSM8K: 82.9% → 88.2%, MATH: 46.8% → 51.7%) and out-of-domain mathematical tasks (e.g., CMATH: 84.6% → 88.8%) during the reinforcement learning phase.', 'The training data of RL are chain-of-thought-format questions related to GSM8K and MATH from the SFT data, which consists of around 144K questions.', 'Chinese benchmarks include MGSM-zh \\citep{mgsm}, CMATH \\citep{wei2023cmath}, Gaokao-MathCloze \\citep{agieval}, and Gaokao-MathQA \\citep{agieval}.']",New Insight,cross-lingual transfer
 generalization,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the observed improvement on out-of-domain tasks after GRPO-based RL suggests that this RL phase induces","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the observed improvement on out-of-domain tasks after GRPO-based RL suggests that this RL phase induces generalization",What does the observed improvement on out-of-domain tasks after GRPO-based RL suggest about the influence of this RL phase?,"['By solely using a subset of English instruction tuning data, GRPO obtains a substantial improvement over the strong DeepSeekMath-Instruct, including both in-domain (GSM8K: 82.9% → 88.2%, MATH: 46.8% → 51.7%) and out-of-domain mathematical tasks (e.g., CMATH: 84.6% → 88.8%) during the reinforcement learning phase.', 'We demonstrate that GRPO significantly enhances the performance of our instruction-tuned model DeepSeekMath-Instruct, by solely using the instruction-tuning data. Furthermore, we observe enhancements in the out-of-domain performance during the reinforcement learning process.', 'Crucially, DeepSeekMath-RL 7B is only trained on chain-of-thought-format instruction tuning data of GSM8K and MATH, starting from DeepSeekMath-Instruct 7B. Despite the constrained scope of its training data, it outperforms DeepSeekMath-Instruct 7B across all evaluation metrics, showcasing the effectiveness of reinforcement learning.']",Conceptual Synthesis,generalization boost
 data selection and GRPO,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors attribute DeepSeekMath's improved mathematical reasoning to two key factors:","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors attribute DeepSeekMath's improved mathematical reasoning to two key factors: data selection and GRPO",Which two key factors do the authors attribute DeepSeekMath's improved mathematical reasoning to?,"['The mathematical reasoning capability of DeepSeekMath~is attributed to two key factors: First, we harness the significant potential of publicly available web data through a meticulously engineered data selection pipeline.', 'Second, we introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), that enhances mathematical reasoning abilities while concurrently optimizing the memory usage of PPO.', 'By implementing a meticulously designed data selection pipeline, we successfully construct the DeepSeekMath Corpus, a high-quality dataset of 120B tokens from web pages filtered for mathematical content, which is almost 7 times the size of the math web pages used by Minerva \\citep{minerva} and 9 times the size of the recently released OpenWebMath \\citep{openwebmath}.', 'We demonstrate that GRPO significantly enhances the performance of our instruction-tuned model DeepSeekMath-Instruct, by solely using the instruction-tuning data.']",Conceptual Synthesis,data selection and GRPO
 higher compute cost,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if GRPO were modified to reintroduce a learned critic, the primary tradeoff to expect is","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if GRPO were modified to reintroduce a learned critic, the primary tradeoff to expect is higher compute cost","If GRPO were modified to reintroduce a learned critic, what primary tradeoff should be expected according to the paper's description?","['GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources compared to Proximal Policy Optimization (PPO).', 'As the value function employed in PPO is typically another model of comparable size as the policy model, it brings a substantial memory and computational burden.']",Predicting Hypothetical,higher compute cost
 critic model,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', compared to standard PPO, GRPO deliberately removes a particular additional model to lower training resource requirements:","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', compared to standard PPO, GRPO deliberately removes a particular additional model to lower training resource requirements: critic model","Compared to standard PPO, which component does GRPO deliberately remove to lower training resource requirements?","['Group Relative Policy Optimization (GRPO), a variant reinforcement learning (RL) algorithm of Proximal Policy Optimization (PPO). GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources.', 'GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources.', 'As the value function employed in PPO is typically another model of comparable size as the policy model, it brings a substantial memory and computational burden.', 'To address this, as shown in Figure \\ref{fig:grpo}, we propose Group Relative Policy Optimization (GRPO), which obviates the need for additional value function approximation as in PPO, and instead uses the average reward of multiple sampled outputs, produced in response to the same question, as the baseline.']",Conceptual Synthesis,critic model
 high-quality data,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors attribute a $7\mathrm{B}$ model matching the performance of much larger models like Minerva $540\mathrm{B}$ primarily to","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors attribute a $7\mathrm{B}$ model matching the performance of much larger models like Minerva $540\mathrm{B}$ primarily to high-quality data",Which primary factor do the authors attribute to a 7B model matching the performance of much larger models like Minerva 540B?,"['Our pre-trained base model DeepSeekMath-Base 7B achieves 64.2% on GSM8K and 36.2% on the competition-level MATH dataset, outperforming Minerva 540B \\citep{minerva}.', 'Our research provides compelling evidence that the publicly accessible Common Crawl data contains valuable information for mathematical purposes. By implementing a meticulously designed data selection pipeline, we successfully construct the DeepSeekMath Corpus, a high-quality dataset of 120B tokens from web pages filtered for mathematical content, which is almost 7 times the size of the math web pages used by Minerva \\citep{minerva} and 9 times the size of the recently released OpenWebMath \\citep{openwebmath}.', 'Our pre-trained base model DeepSeekMath-Base 7B achieves comparable performance with Minerva 540B \\citep{minerva}, indicating the number of parameters is not the only key factor in mathematical reasoning capability.', 'A smaller model pre-trained on high-quality data could achieve strong performance as well.']",Conceptual Synthesis,high-quality data
 forgoing the critic model,"In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the specific design choice in GRPO that is claimed to significantly reduce training resources is","In the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the specific design choice in GRPO that is claimed to significantly reduce training resources is forgoing the critic model",What specific design choice in GRPO is claimed to significantly reduce training resources?,"['GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources.', 'As the value function employed in PPO is typically another model of comparable size as the policy model, it brings a substantial memory and computational burden.', 'To address this, as shown in Figure \\ref{fig:grpo}, we propose Group Relative Policy Optimization (GRPO), which obviates the need for additional value function approximation as in PPO, and instead uses the average reward of multiple sampled outputs, produced in response to the same question, as the baseline.']",Conceptual Synthesis,no critic
 value function,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO removes the expensive component used by PPO that causes substantial memory and computation burden, the","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', GRPO removes the expensive component used by PPO that causes substantial memory and computation burden, the value function","According to the paper's comparison between PPO and GRPO, which expensive component used by PPO does GRPO remove to reduce memory and computation burden?","['As the value function employed in PPO is typically another model of comparable size as the policy model, it brings a substantial memory and computational burden.', 'we propose Group Relative Policy Optimization (GRPO), which obviates the need for additional value function approximation as in PPO', 'We introduce Group Relative Policy Optimization (GRPO), an efficient and effective reinforcement learning algorithm. GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources compared to Proximal Policy Optimization (PPO).']",Conceptual Synthesis,value function
 worse performance,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the DeepSeekMath Corpus had been English-only, the authors would most likely expect the model's performance on Chinese mathematical benchmarks to be","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', if the DeepSeekMath Corpus had been English-only, the authors would most likely expect the model's performance on Chinese mathematical benchmarks to be worse performance","If the DeepSeekMath Corpus had been English-only, what would the authors most likely expect for Chinese benchmark performance?","['The DeepSeekMath~Corpus encompasses data in multiple languages, predominantly featuring English and Chinese as the two most represented languages.', 'As shown in Table \\ref{tab:corpora_comparison}, training on the DeepSeekMath~Corpus enhances mathematical reasoning performance in both English and Chinese.', 'In contrast, existing mathematical corpora, which are primarily English-centric, show limited improvement and may even hinder performance in Chinese mathematical reasoning.', 'In addition, the DeepSeekMath Corpus is multilingual, so we notice an improvement in Chinese mathematical benchmarks \\citep{wei2023cmath,agieval}.', ""Notably, DeepSeekMath-Base is superior on Chinese benchmarks, likely because we don't follow previous works \\citep{minerva,llemma} to collect English-only math pre-training data, and also include high-quality non-English ones.""]",Predicting Hypothetical,worse performance
 memory usage,"According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that Group Relative Policy Optimization (GRPO) forgoes the critic/value function and estimates baselines from group scores, reducing training resource demands such as","According to the paper 'DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models', the authors state that Group Relative Policy Optimization (GRPO) forgoes the critic/value function and estimates baselines from group scores, reducing training resource demands such as memory usage",Which training resource usage does the paper explicitly claim GRPO optimizes compared to PPO?,"['The mathematical reasoning capability of DeepSeekMath~is attributed to two key factors: ... Second, we introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), that enhances mathematical reasoning abilities while concurrently optimizing the memory usage of PPO.', 'GRPO foregoes the critic model, instead estimating the baseline from group scores, significantly reducing training resources.', 'As the value function employed in PPO is typically another model of comparable size as the policy model, it brings a substantial memory and computational burden.', 'We introduce Group Relative Policy Optimization (GRPO), a variant of Proximal Policy Optimization (PPO), which can notably improve mathematical reasoning capabilities with less memory consumption.']",Conceptual Synthesis,memory usage
