step,probe_index,mcqa_accuracy
0,0,1.0
0,1,0.0
0,2,1.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
4,0,1.0
4,1,0.0
4,2,1.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
8,0,1.0
8,1,0.0
8,2,1.0
8,3,0.0
8,4,0.0
8,5,0.0
8,6,0.0
12,0,1.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
16,0,1.0
16,1,0.0
16,2,0.0
16,3,0.0
16,4,0.0
16,5,0.0
16,6,0.0
20,0,1.0
20,1,0.0
20,2,0.0
20,3,0.0
20,4,0.0
20,5,0.0
20,6,0.0
24,0,1.0
24,1,0.0
24,2,1.0
24,3,0.0
24,4,0.0
24,5,0.0
24,6,0.0
28,0,1.0
28,1,0.0
28,2,1.0
28,3,0.0
28,4,0.0
28,5,0.0
28,6,0.0
32,0,1.0
32,1,0.0
32,2,1.0
32,3,0.0
32,4,0.0
32,5,0.0
32,6,0.0
36,0,1.0
36,1,0.0
36,2,1.0
36,3,0.0
36,4,0.0
36,5,0.0
36,6,0.0
40,0,1.0
40,1,0.0
40,2,1.0
40,3,0.0
40,4,0.0
40,5,0.0
40,6,0.0
44,0,1.0
44,1,0.0
44,2,1.0
44,3,0.0
44,4,0.0
44,5,0.0
44,6,0.0
48,0,1.0
48,1,0.0
48,2,1.0
48,3,0.0
48,4,0.0
48,5,0.0
48,6,0.0
52,0,1.0
52,1,0.0
52,2,1.0
52,3,0.0
52,4,0.0
52,5,0.0
52,6,0.0
56,0,1.0
56,1,0.0
56,2,1.0
56,3,0.0
56,4,0.0
56,5,0.0
56,6,0.0
60,0,1.0
60,1,0.0
60,2,1.0
60,3,0.0
60,4,0.0
60,5,0.0
60,6,0.0
64,0,1.0
64,1,0.0
64,2,1.0
64,3,0.0
64,4,0.0
64,5,0.0
64,6,0.0
68,0,1.0
68,1,0.0
68,2,1.0
68,3,0.0
68,4,0.0
68,5,0.0
68,6,0.0
72,0,1.0
72,1,0.0
72,2,1.0
72,3,0.0
72,4,0.0
72,5,0.0
72,6,0.0
76,0,1.0
76,1,0.0
76,2,1.0
76,3,0.0
76,4,0.0
76,5,0.0
76,6,0.0
80,0,1.0
80,1,0.0
80,2,1.0
80,3,0.0
80,4,0.0
80,5,0.0
80,6,0.0
84,0,1.0
84,1,0.0
84,2,1.0
84,3,0.0
84,4,0.0
84,5,0.0
84,6,0.0
88,0,1.0
88,1,0.0
88,2,1.0
88,3,0.0
88,4,0.0
88,5,0.0
88,6,0.0
92,0,1.0
92,1,0.0
92,2,1.0
92,3,0.0
92,4,0.0
92,5,0.0
92,6,0.0
96,0,1.0
96,1,0.0
96,2,1.0
96,3,0.0
96,4,0.0
96,5,0.0
96,6,0.0
100,0,1.0
100,1,0.0
100,2,1.0
100,3,0.0
100,4,0.0
100,5,0.0
100,6,0.0
