step,probe_index,section,raw_knowledge_perplexity,raw_knowledge_perplexity_delta,atomic_whole_perplexity,atomic_target_perplexity,atomic_whole_log_prob,atomic_target_log_prob,atomic_whole_perplexity_delta,atomic_target_perplexity_delta,atomic_whole_log_prob_delta,atomic_target_log_prob_delta
1,0,No Section,21.191831588745117,0.0,26.703798294067383,8.820813179016113,-118.25300598144531,-15.239797592163086,0.0,0.0,0.0,0.0
1,1,No Section,67.20992279052734,0.0,40.793785095214844,25.129796981811523,-148.3411865234375,-12.896217346191406,0.0,0.0,0.0,0.0
1,2,No Section,30.329023361206055,0.0,34.38495635986328,240.27024841308594,-166.26809692382812,-16.445293426513672,0.0,0.0,0.0,0.0
1,3,No Section,28.430904388427734,0.0,22.369733810424805,46.73516845703125,-152.27774047851562,-15.3779878616333,0.0,0.0,0.0,0.0
1,4,No Section,23.341726303100586,0.0,23.825254440307617,7.041502475738525,-139.51283264160156,-9.75910758972168,0.0,0.0,0.0,0.0
1,5,No Section,109.80050659179688,0.0,69.5933609008789,10.779336929321289,-233.3468017578125,-14.265786170959473,0.0,0.0,0.0,0.0
1,6,Introduction,33.850399017333984,0.0,17.696592330932617,19.33411979675293,-109.18814086914062,-11.847485542297363,0.0,0.0,0.0,0.0
1,7,Introduction,16.42690658569336,0.0,20.763595581054688,23.458965301513672,-75.83003234863281,-22.086769104003906,0.0,0.0,0.0,0.0
1,8,Introduction,29.94356346130371,0.0,47.40775680541992,14.09910774230957,-150.49264526367188,-21.16889190673828,0.0,0.0,0.0,0.0
1,9,Introduction,12.432269096374512,0.0,14.624347686767578,10.011503219604492,-91.21138763427734,-13.822408676147461,0.0,0.0,0.0,0.0
1,10,Introduction,30.154644012451172,0.0,37.48611068725586,14.873294830322266,-115.96705627441406,-21.596538543701172,0.0,0.0,0.0,0.0
1,11,Introduction,32.909671783447266,0.0,48.20161056518555,965.074462890625,-162.7664794921875,-20.616615295410156,0.0,0.0,0.0,0.0
1,12,Introduction,9.433959007263184,0.0,43.356292724609375,21.140077590942383,-188.47259521484375,-24.409364700317383,0.0,0.0,0.0,0.0
1,13,Introduction,60.52854537963867,0.0,96.2601318359375,209.24978637695312,-123.31047058105469,-16.03058624267578,0.0,0.0,0.0,0.0
1,14,Introduction,34.83491897583008,0.0,28.82711410522461,18.328981399536133,-84.03291320800781,-8.72545051574707,0.0,0.0,0.0,0.0
1,15,Introduction,50.491146087646484,0.0,71.70149230957031,60.676151275634766,-158.08291625976562,-28.738855361938477,0.0,0.0,0.0,0.0
1,16,Introduction,69.76746368408203,0.0,40.038719177246094,31.977798461914062,-177.11265563964844,-13.860167503356934,0.0,0.0,0.0,0.0
1,17,Introduction,47.02926254272461,0.0,33.03434753417969,4.48614501953125,-164.38475036621094,-4.502981185913086,0.0,0.0,0.0,0.0
1,18,Introduction,22.249317169189453,0.0,39.10030746459961,42.61094665527344,-91.65325927734375,-26.26477813720703,0.0,0.0,0.0,0.0
1,19,Introduction,27.041534423828125,0.0,28.45414924621582,7.171167850494385,-170.76300048828125,-15.760547637939453,0.0,0.0,0.0,0.0
1,20,Introduction,85.12910461425781,0.0,119.26725769042969,162.5600128173828,-191.25466918945312,-20.36418914794922,0.0,0.0,0.0,0.0
1,21,Introduction,31.12641716003418,0.0,20.094249725341797,39.62980270385742,-105.01518249511719,-11.03874397277832,0.0,0.0,0.0,0.0
1,22,Introduction,20.003591537475586,0.0,23.442649841308594,16.035215377807617,-138.80050659179688,-19.42350959777832,0.0,0.0,0.0,0.0
1,23,Introduction,54.06641387939453,0.0,37.94279098510742,27.059818267822266,-163.6235809326172,-26.3843994140625,0.0,0.0,0.0,0.0
1,24,Introduction,70.98515319824219,0.0,57.941226959228516,119.3138427734375,-97.42630004882812,-23.90878677368164,0.0,0.0,0.0,0.0
1,25,Introduction,34.52001953125,0.0,40.172462463378906,33.53920364379883,-199.4318084716797,-35.12715148925781,0.0,0.0,0.0,0.0
1,26,Related Work,51.14345169067383,0.0,29.153390884399414,9.45669937133789,-60.70628356933594,-13.480340003967285,0.0,0.0,0.0,0.0
1,27,Related Work,31.803834915161133,0.0,27.536230087280273,76.07947540283203,-112.72708892822266,-17.32711410522461,0.0,0.0,0.0,0.0
1,28,Related Work,71.13430786132812,0.0,25.22282600402832,283.7286376953125,-145.24871826171875,-22.592073440551758,0.0,0.0,0.0,0.0
1,29,Related Work,22.712425231933594,0.0,41.52363586425781,211.66995239257812,-227.30203247070312,-16.06508445739746,0.0,0.0,0.0,0.0
1,30,Related Work,14.270658493041992,0.0,19.410545349121094,3.909085512161255,-207.60714721679688,-13.633033752441406,0.0,0.0,0.0,0.0
1,31,Related Work,64.23474884033203,0.0,42.43967819213867,29.718647003173828,-232.38119506835938,-33.917747497558594,0.0,0.0,0.0,0.0
1,32,Related Work,20.97018814086914,0.0,35.613731384277344,3.3167507648468018,-139.33651733398438,-2.3979711532592773,0.0,0.0,0.0,0.0
1,33,Related Work,41.241233825683594,0.0,38.462928771972656,12.129792213439941,-145.98779296875,-9.982658386230469,0.0,0.0,0.0,0.0
1,34,Related Work,28.21587562561035,0.0,47.3381462097168,8.728519439697266,-81.00364685058594,-12.999573707580566,0.0,0.0,0.0,0.0
1,35,Related Work,38.70241928100586,0.0,46.149269104003906,25.9992733001709,-88.13326263427734,-16.290342330932617,0.0,0.0,0.0,0.0
1,36,Related Work,20.784080505371094,0.0,24.623905181884766,3.609309673309326,-163.3896026611328,-6.4175825119018555,0.0,0.0,0.0,0.0
1,37,Related Work,42.24980163574219,0.0,84.82254028320312,32.0528450012207,-173.181884765625,-24.27170181274414,0.0,0.0,0.0,0.0
1,38,Related Work,37.44328689575195,0.0,45.66482925415039,11.686555862426758,-91.71188354492188,-7.375317573547363,0.0,0.0,0.0,0.0
1,39,Related Work,51.684627532958984,0.0,41.181034088134766,16.043663024902344,-159.873046875,-5.550627708435059,0.0,0.0,0.0,0.0
1,40,Related Work,72.67977905273438,0.0,51.78236389160156,53.07965087890625,-122.35853576660156,-27.802555084228516,0.0,0.0,0.0,0.0
1,41,Preliminaries,49.27214431762695,0.0,49.512516021728516,22.47828483581543,-124.8712158203125,-6.225099563598633,0.0,0.0,0.0,0.0
1,42,Preliminaries,26.38201904296875,0.0,61.9903564453125,29.894329071044922,-103.17447662353516,-6.795337677001953,0.0,0.0,0.0,0.0
